cuenca,subcuenca,x1,estacion,nivel,x2,x3,dt
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-01 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-02 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-03 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-04 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-05 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-06 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-07 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-08 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-09 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-10 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,4,,,2000-01-11 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-12 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-13 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-14 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,11,,,2000-01-15 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-16 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,18,,,2000-01-17 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-18 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-19 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-20 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-21 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-22 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-23 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-24 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-25 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-26 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-27 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-28 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-29 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-01-30 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,4,,,2000-01-31 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-02-01 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-02-02 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-02-03 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-02-04 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-02-05 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-02-06 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-02-07 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-02-08 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-02-09 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,1,,,2000-02-10 07:00:00
